x,y,thick
0,10,2.09E-08
1,10,2.09E-08
1,9,2.09E-08
0,9,2.09E-08
0.5,9.5,2.09E-08
1,10,2.88E-08
2,10,2.88E-08
2,9,2.88E-08
1,9,2.88E-08
1.5,9.5,2.88E-08
2,10,3.61E-08
3,10,3.61E-08
3,9,3.61E-08
2,9,3.61E-08
2.5,10,3.61E-08
2.5,9,3.61E-08
3,10,1.69E-08
4,10,1.69E-08
4,9,1.69E-08
3,9,1.69E-08
3.5,10,1.69E-08
3.5,9,1.69E-08
4,10,6.26E-09
5,10,6.26E-09
5,9,6.26E-09
4,9,6.26E-09
4.5,9.5,6.26E-09
5,10,4.07E-09
6,10,4.07E-09
6,9,4.07E-09
5,9,4.07E-09
5.5,9.5,4.07E-09
6,10,4.56E-09
7,10,4.56E-09
7,9,4.56E-09
6,9,4.56E-09
6.5,9.5,4.56E-09
7,10,6.62E-09
8,10,6.62E-09
8,9,6.62E-09
7,9,6.62E-09
7.5,9.5,6.62E-09
8,10,8.75E-09
9,10,8.75E-09
9,9,8.75E-09
8,9,8.75E-09
8.5,9.5,8.75E-09
9,10,9.18E-09
10,10,9.18E-09
10,9,9.18E-09
9,9,9.18E-09
9.5,9.5,9.18E-09
0,9,1.61E-08
1,9,1.61E-08
1,8,1.61E-08
0,8,1.61E-08
0.5,8.5,1.61E-08
1,9,2.24E-08
2,9,2.24E-08
2,8,2.24E-08
1,8,2.24E-08
1.5,8.5,2.24E-08
2,9,3.21E-08
3,9,3.21E-08
3,8,3.21E-08
2,8,3.21E-08
2.5,9,3.21E-08
2.5,8,3.21E-08
3,9,1.61E-08
4,9,1.61E-08
4,8,1.61E-08
3,8,1.61E-08
3.5,9,1.61E-08
3.5,8,1.61E-08
4,9,8.30E-09
5,9,8.30E-09
5,8,8.30E-09
4,8,8.30E-09
4.5,8.5,8.30E-09
5,9,6.52E-09
6,9,6.52E-09
6,8,6.52E-09
5,8,6.52E-09
5.5,8.5,6.52E-09
6,9,5.48E-09
7,9,5.48E-09
7,8,5.48E-09
6,8,5.48E-09
6.5,8.5,5.48E-09
7,9,5.62E-09
8,9,5.62E-09
8,8,5.62E-09
7,8,5.62E-09
7.5,8.5,5.62E-09
8,9,7.28E-09
9,9,7.28E-09
9,8,7.28E-09
8,8,7.28E-09
8.5,8.5,7.28E-09
9,9,8.69E-09
10,9,8.69E-09
10,8,8.69E-09
9,8,8.69E-09
9.5,8.5,8.69E-09
0,8,1.62E-08
1,8,1.62E-08
1,7,1.62E-08
0,7,1.62E-08
0.5,7.5,1.62E-08
1,8,1.97E-08
2,8,1.97E-08
2,7,1.97E-08
1,7,1.97E-08
1.5,7.5,1.97E-08
2,8,2.44E-08
3,8,2.44E-08
3,7,2.44E-08
2,7,2.44E-08
2.5,8,2.44E-08
2.5,7,2.44E-08
3,8,1.08E-08
4,8,1.08E-08
4,7,1.08E-08
3,7,1.08E-08
3.5,8,1.08E-08
3.5,7,1.08E-08
4,8,8.35E-09
5,8,8.35E-09
5,7,8.35E-09
4,7,8.35E-09
4.5,7.5,8.35E-09
5,8,1.05E-08
6,8,1.05E-08
6,7,1.05E-08
5,7,1.05E-08
5.5,7.5,1.05E-08
6,8,7.99E-09
7,8,7.99E-09
7,7,7.99E-09
6,7,7.99E-09
6.5,7.5,7.99E-09
7,8,5.73E-09
8,8,5.73E-09
8,7,5.73E-09
7,7,5.73E-09
7.5,7.5,5.73E-09
8,8,5.84E-09
9,8,5.84E-09
9,7,5.84E-09
8,7,5.84E-09
8.5,7.5,5.84E-09
9,8,7.57E-09
10,8,7.57E-09
10,7,7.57E-09
9,7,7.57E-09
9.5,7.5,7.57E-09
0,7,1.79E-08
1,7,1.79E-08
1,6,1.79E-08
0,6,1.79E-08
0.5,6.5,1.79E-08
1,7,1.75E-08
2,7,1.75E-08
2,6,1.75E-08
1,6,1.75E-08
1.5,6.5,1.75E-08
2,7,1.63E-08
3,7,1.63E-08
3,6,1.63E-08
2,6,1.63E-08
2.5,7,1.63E-08
2.5,6,1.63E-08
3,7,6.93E-09
4,7,6.93E-09
4,6,6.93E-09
3,6,6.93E-09
3.5,7,6.93E-09
3.5,6,6.93E-09
4,7,7.36E-09
5,7,7.36E-09
5,6,7.36E-09
4,6,7.36E-09
4.5,6.5,7.36E-09
5,7,1.14E-08
6,7,1.14E-08
6,6,1.14E-08
5,6,1.14E-08
5.5,6.5,1.14E-08
6,7,1.06E-08
7,7,1.06E-08
7,6,1.06E-08
6,6,1.06E-08
6.5,6.5,1.06E-08
7,7,7.27E-09
8,7,7.27E-09
8,6,7.27E-09
7,6,7.27E-09
7.5,6.5,7.27E-09
8,7,5.59E-09
9,7,5.59E-09
9,6,5.59E-09
8,6,5.59E-09
8.5,6.5,5.59E-09
9,7,5.90E-09
10,7,5.90E-09
10,6,5.90E-09
9,6,5.90E-09
9.5,6.5,5.90E-09
0,6,1.80E-08
1,6,1.80E-08
1,5,1.80E-08
0,5,1.80E-08
0.5,5.5,1.80E-08
1,6,1.53E-08
2,6,1.53E-08
2,5,1.53E-08
1,5,1.53E-08
1.5,5.5,1.53E-08
2,6,1.02E-08
3,6,1.02E-08
3,5,1.02E-08
2,5,1.02E-08
2.5,6,1.02E-08
2.5,5,1.02E-08
3,6,4.85E-09
4,6,4.85E-09
4,5,4.85E-09
3,5,4.85E-09
3.5,6,4.85E-09
3.5,5,4.85E-09
4,6,6.72E-09
5,6,6.72E-09
5,5,6.72E-09
4,5,6.72E-09
4.5,5.5,6.72E-09
5,6,1.04E-08
6,6,1.04E-08
6,5,1.04E-08
5,5,1.04E-08
5.5,5.5,1.04E-08
6,6,1.14E-08
7,6,1.14E-08
7,5,1.14E-08
6,5,1.14E-08
6.5,5.5,1.14E-08
7,6,9.28E-09
8,6,9.28E-09
8,5,9.28E-09
7,5,9.28E-09
7.5,5.5,9.28E-09
8,6,6.11E-09
9,6,6.11E-09
9,5,6.11E-09
8,5,6.11E-09
8.5,5.5,6.11E-09
9,6,4.80E-09
10,6,4.80E-09
10,5,4.80E-09
9,5,4.80E-09
9.5,5.5,4.80E-09
0,5,1.58E-08
1,5,1.58E-08
1,4,1.58E-08
0,4,1.58E-08
0.5,4.5,1.58E-08
1,5,1.30E-08
2,5,1.30E-08
2,4,1.30E-08
1,4,1.30E-08
1.5,4.5,1.30E-08
2,5,6.92E-09
3,5,6.92E-09
3,4,6.92E-09
2,4,6.92E-09
2.5,5,6.92E-09
2.5,4,6.92E-09
3,5,4.11E-09
4,5,4.11E-09
4,4,4.11E-09
3,4,4.11E-09
3.5,5,4.11E-09
3.5,4,4.11E-09
4,5,6.62E-09
5,5,6.62E-09
5,4,6.62E-09
4,4,6.62E-09
4.5,4.5,6.62E-09
5,5,9.09E-09
6,5,9.09E-09
6,4,9.09E-09
5,4,9.09E-09
5.5,4.5,9.09E-09
6,5,1.06E-08
7,5,1.06E-08
7,4,1.06E-08
6,4,1.06E-08
6.5,4.5,1.06E-08
7,5,1.01E-08
8,5,1.01E-08
8,4,1.01E-08
7,4,1.01E-08
7.5,4.5,1.01E-08
8,5,6.88E-09
9,5,6.88E-09
9,4,6.88E-09
8,4,6.88E-09
8.5,4.5,6.88E-09
9,5,4.67E-09
10,5,4.67E-09
10,4,4.67E-09
9,4,4.67E-09
9.5,4.5,4.67E-09
0,4,1.26E-08
1,4,1.26E-08
1,3,1.26E-08
0,3,1.26E-08
1,3.5,1.26E-08
0,3.5,1.26E-08
1,4,1.03E-08
2,4,1.03E-08
2,3,1.03E-08
1,3,1.03E-08
2,3.5,1.03E-08
1,3.5,1.03E-08
2,4,5.50E-09
3,4,5.50E-09
3,3,5.50E-09
2,3,5.50E-09
2.5,4,5.50E-09
3,3.5,5.50E-09
2.5,3,5.50E-09
2,3.5,5.50E-09
3,4,4.30E-09
4,4,4.30E-09
4,3,4.30E-09
3,3,4.30E-09
3.5,4,4.30E-09
4,3.5,4.30E-09
3.5,3,4.30E-09
3,3.5,4.30E-09
4,4,6.79E-09
5,4,6.79E-09
5,3,6.79E-09
4,3,6.79E-09
5,3.5,6.79E-09
4,3.5,6.79E-09
5,4,8.10E-09
6,4,8.10E-09
6,3,8.10E-09
5,3,8.10E-09
6,3.5,8.10E-09
5,3.5,8.10E-09
6,4,9.22E-09
7,4,9.22E-09
7,3,9.22E-09
6,3,9.22E-09
7,3.5,9.22E-09
6,3.5,9.22E-09
7,4,9.43E-09
8,4,9.43E-09
8,3,9.43E-09
7,3,9.43E-09
8,3.5,9.43E-09
7,3.5,9.43E-09
8,4,7.38E-09
9,4,7.38E-09
9,3,7.38E-09
8,3,7.38E-09
9,3.5,7.38E-09
8,3.5,7.38E-09
9,4,5.44E-09
10,4,5.44E-09
10,3,5.44E-09
9,3,5.44E-09
10,3.5,5.44E-09
9,3.5,5.44E-09
0,3,9.59E-09
1,3,9.59E-09
1,2,9.59E-09
0,2,9.59E-09
1,2.5,9.59E-09
0,2.5,9.59E-09
1,3,7.71E-09
2,3,7.71E-09
2,2,7.71E-09
1,2,7.71E-09
2,2.5,7.71E-09
1,2.5,7.71E-09
2,3,4.83E-09
3,3,4.83E-09
3,2,4.83E-09
2,2,4.83E-09
2.5,3,4.83E-09
3,2.5,4.83E-09
2.5,2,4.83E-09
2,2.5,4.83E-09
3,3,5.00E-09
4,3,5.00E-09
4,2,5.00E-09
3,2,5.00E-09
3.5,3,5.00E-09
4,2.5,5.00E-09
3.5,2,5.00E-09
3,2.5,5.00E-09
4,3,7.11E-09
5,3,7.11E-09
5,2,7.11E-09
4,2,7.11E-09
5,2.5,7.11E-09
4,2.5,7.11E-09
5,3,7.48E-09
6,3,7.48E-09
6,2,7.48E-09
5,2,7.48E-09
6,2.5,7.48E-09
5,2.5,7.48E-09
6,3,7.92E-09
7,3,7.92E-09
7,2,7.92E-09
6,2,7.92E-09
7,2.5,7.92E-09
6,2.5,7.92E-09
7,3,8.08E-09
8,3,8.08E-09
8,2,8.08E-09
7,2,8.08E-09
8,2.5,8.08E-09
7,2.5,8.08E-09
8,3,7.36E-09
9,3,7.36E-09
9,2,7.36E-09
8,2,7.36E-09
9,2.5,7.36E-09
8,2.5,7.36E-09
9,3,6.71E-09
10,3,6.71E-09
10,2,6.71E-09
9,2,6.71E-09
10,2.5,6.71E-09
9,2.5,6.71E-09
0,2,7.14E-09
1,2,7.14E-09
1,1,7.14E-09
0,1,7.14E-09
0.5,1.5,7.14E-09
1,2,5.51E-09
2,2,5.51E-09
2,1,5.51E-09
1,1,5.51E-09
1.5,1.5,5.51E-09
2,2,4.38E-09
3,2,4.38E-09
3,1,4.38E-09
2,1,4.38E-09
2.5,2,4.38E-09
2.5,1,4.38E-09
3,2,5.78E-09
4,2,5.78E-09
4,1,5.78E-09
3,1,5.78E-09
3.5,2,5.78E-09
3.5,1,5.78E-09
4,2,7.44E-09
5,2,7.44E-09
5,1,7.44E-09
4,1,7.44E-09
4.5,1.5,7.44E-09
5,2,7.23E-09
6,2,7.23E-09
6,1,7.23E-09
5,1,7.23E-09
5.5,1.5,7.23E-09
6,2,6.91E-09
7,2,6.91E-09
7,1,6.91E-09
6,1,6.91E-09
6.5,1.5,6.91E-09
7,2,6.85E-09
8,2,6.85E-09
8,1,6.85E-09
7,1,6.85E-09
7.5,1.5,6.85E-09
8,2,7.09E-09
9,2,7.09E-09
9,1,7.09E-09
8,1,7.09E-09
8.5,1.5,7.09E-09
9,2,7.85E-09
10,2,7.85E-09
10,1,7.85E-09
9,1,7.85E-09
9.5,1.5,7.85E-09
