x,y,thick,,,,,,,
0,1,1.43E-07,,,,,,,
0.111111111,1,1.23E-07,,,,,,,
0.222222222,1,1.05E-07,,,,,,,
0.333333333,1,8.76E-08,,,,,,,
0.444444444,1,7.20E-08,,,,,,,
0.555555556,1,5.80E-08,,,,,,,
0.666666667,1,4.55E-08,,,,,,,
0.777777778,1,3.45E-08,,,,,,,
0.888888889,1,2.50E-08,,,,,,,
1,1,1.79E-08,,,,,,,
0,0.88,1.32E-07,,,,,,,
0.111111111,0.88,1.14E-07,,,,,,,
0.222222222,0.88,9.68E-08,,,,,,,
0.333333333,0.88,8.11E-08,,,,,,,
0.444444444,0.88,6.67E-08,,,,,,,
0.555555556,0.88,5.37E-08,,,,,,,
0.666666667,0.88,4.21E-08,,,,,,,
0.777777778,0.88,3.19E-08,,,,,,,
0.888888889,0.88,2.32E-08,,,,,,,
1,0.88,1.65E-08,,,,,,,
0,0.77,1.22E-07,,,,,,,
0.111111111,0.77,1.05E-07,,,,,,,
0.222222222,0.77,8.91E-08,,,,,,,
0.333333333,0.77,7.46E-08,,,,,,,
0.444444444,0.77,6.14E-08,,,,,,,
0.555555556,0.77,4.94E-08,,,,,,,
0.666666667,0.77,3.88E-08,,,,,,,
0.777777778,0.77,2.94E-08,,,,,,,
0.888888889,0.77,2.13E-08,,,,,,,
1,0.77,1.52E-08,,,,,,,
0,0.66,1.11E-07,,,,,,,
0.111111111,0.66,9.58E-08,,,,,,,
0.222222222,0.66,8.13E-08,,,,,,,
0.333333333,0.66,6.81E-08,,,,,,,
0.444444444,0.66,5.60E-08,,,,,,,
0.555555556,0.66,4.51E-08,,,,,,,
0.666666667,0.66,3.54E-08,,,,,,,
0.777777778,0.66,2.68E-08,,,,,,,
0.888888889,0.66,1.95E-08,,,,,,,
1,0.66,1.39E-08,,,,,,,
0,0.55,1.01E-07,,,,,,,
0.111111111,0.55,8.66E-08,,,,,,,
0.222222222,0.55,7.36E-08,,,,,,,
0.333333333,0.55,6.16E-08,,,,,,,
0.444444444,0.55,5.07E-08,,,,,,,
0.555555556,0.55,4.08E-08,,,,,,,
0.666666667,0.55,3.20E-08,,,,,,,
0.777777778,0.55,2.43E-08,,,,,,,
0.888888889,0.55,1.76E-08,,,,,,,
1,0.55,1.26E-08,,,,,,,
0,0.44,9.00E-08,,,,,,,
0.111111111,0.44,7.75E-08,,,,,,,
0.222222222,0.44,6.58E-08,,,,,,,
0.333333333,0.44,5.51E-08,,,,,,,
0.444444444,0.44,4.54E-08,,,,,,,
0.555555556,0.44,3.65E-08,,,,,,,
0.666666667,0.44,2.87E-08,,,,,,,
0.777777778,0.44,2.17E-08,,,,,,,
0.888888889,0.44,1.58E-08,,,,,,,
1,0.44,1.12E-08,,,,,,,
0,0.33,7.94E-08,,,,,,,
0.111111111,0.33,6.84E-08,,,,,,,
0.222222222,0.33,5.81E-08,,,,,,,
0.333333333,0.33,4.86E-08,,,,,,,
0.444444444,0.33,4.00E-08,,,,,,,
0.555555556,0.33,3.22E-08,,,,,,,
0.666666667,0.33,2.53E-08,,,,,,,
0.777777778,0.33,1.92E-08,,,,,,,
0.888888889,0.33,1.39E-08,,,,,,,
1,0.33,9.92E-09,,,,,,,
0,0.22,6.88E-08,,,,,,,
0.111111111,0.22,5.93E-08,,,,,,,
0.222222222,0.22,5.04E-08,,,,,,,
0.333333333,0.22,4.22E-08,,,,,,,
0.444444444,0.22,3.47E-08,,,,,,,
0.555555556,0.22,2.79E-08,,,,,,,
0.666666667,0.22,2.19E-08,,,,,,,
0.777777778,0.22,1.66E-08,,,,,,,
0.888888889,0.22,1.20E-08,,,,,,,
1,0.22,8.60E-09,,,,,,,
0,0.11,5.83E-08,,,,,,,
0.111111111,0.11,5.02E-08,,,,,,,
0.222222222,0.11,4.26E-08,,,,,,,
0.333333333,0.11,3.57E-08,,,,,,,
0.444444444,0.11,2.93E-08,,,,,,,
0.555555556,0.11,2.36E-08,,,,,,,
0.666666667,0.11,1.85E-08,,,,,,,
0.777777778,0.11,1.41E-08,,,,,,,
0.888888889,0.11,1.02E-08,,,,,,,
1,0.11,7.28E-09,,,,,,,
0,0,4.77E-08,,,,,,,
0.111111111,0,4.10E-08,,,,,,,
0.222222222,0,3.49E-08,,,,,,,
0.333333333,0,2.92E-08,,,,,,,
0.444444444,0,2.40E-08,,,,,,,
0.555555556,0,1.93E-08,,,,,,,
0.666666667,0,1.52E-08,,,,,,,
0.777777778,0,1.15E-08,,,,,,,
0.888888889,0,8.34E-09,,,,,,,
1,0,5.95E-09,,,,,,,
